ixs_xme|0000ALX0ANOT|1|1|NOW=20110121083348|
AKTINF|MC03|12|2010|21.01.2011|08:33:48|XCRKU2B3 120520101514|
LOK|00063517|1|Mìstská èást Praha 3|00063517|1|MÈ Praha 3||0||00063517|1|HÈ MÈ Praha 3||0|
UCET-STAV|231|0010|bìžný úèet do 31.12.2009|0,00|0,00|0,00|0,00|0,00|
UCET-STAV|231|0400|základní bìžný úèet - bìžné|199 374 177,79|227 489 189,54|96 810 444,51|1 595 457 851,82|1 360 435 350,08|
UCET-ZAPIS|1|12|300111|0|4 497,00|0,00|
UCET-ZAPIS|1|12|300111|0|2 000 000,00|0,00|
UCET-ZAPIS|3|12|300003|0|25 672,00|0,00|
UCET-ZAPIS|3|12|300004|0|10 872,00|0,00|
UCET-ZAPIS|3|12|300005|0|0,00|166 200,00|
UCET-ZAPIS|3|12|300006|0|166 200,00|0,00|
UCET-ZAPIS|3|12|300007|0|0,00|20 000 000,00|
UCET-ZAPIS|3|12|300008|0|0,00|1 920,00|
UCET-ZAPIS|3|12|300009|0|0,00|11 080,00|
UCET-ZAPIS|3|12|300010|0|0,00|10 656,00|
UCET-ZAPIS|3|12|300011|0|0,00|1 546,00|
UCET-ZAPIS|3|12|300012|0|0,00|9 974,00|
UCET-ZAPIS|3|12|300013|0|0,00|3 644,00|
UCET-ZAPIS|3|12|300014|0|0,00|5 285,00|
UCET-ZAPIS|3|12|300015|0|0,00|6 426,00|
UCET-ZAPIS|3|12|300016|0|0,00|1 861,00|
UCET-ZAPIS|3|12|300017|0|0,00|4 826,00|
UCET-ZAPIS|3|12|300018|0|0,00|5 319,00|
UCET-ZAPIS|3|12|300019|0|0,00|1 903,00|
UCET-ZAPIS|3|12|300020|0|0,00|4 167,00|
UCET-ZAPIS|3|12|300021|0|0,00|2 437,00|
UCET-ZAPIS|3|12|300022|0|0,00|12 129,00|
UCET-ZAPIS|3|12|300023|0|0,00|623,00|
UCET-ZAPIS|3|12|300024|0|0,00|5 112,00|
UCET-ZAPIS|3|12|300025|0|0,00|18 650,00|
UCET-ZAPIS|3|12|300026|0|0,00|27 896,00|
UCET-ZAPIS|3|12|300027|0|0,00|30 272,00|
UCET-ZAPIS|3|12|300028|0|0,00|25 130,00|
UCET-ZAPIS|3|12|300029|0|0,00|15 825,00|
UCET-ZAPIS|3|12|300030|0|0,00|12 402,00|
UCET-ZAPIS|3|12|300031|0|0,00|15 713,00|
UCET-ZAPIS|3|12|300032|0|0,00|22 390,00|
UCET-ZAPIS|3|12|300033|0|0,00|1 913 750,00|
UCET-ZAPIS|3|12|300034|0|0,00|882 367,00|
UCET-ZAPIS|3|12|300035|0|0,00|10 183,00|
UCET-ZAPIS|3|12|300036|0|0,00|941 667,00|
UCET-ZAPIS|3|12|300037|0|0,00|374 975,00|
UCET-ZAPIS|3|12|300038|0|0,00|627 200,00|
UCET-ZAPIS|3|12|300039|0|0,00|274 000,00|
UCET-ZAPIS|3|12|300040|0|0,00|172 159,00|
UCET-ZAPIS|3|12|300041|0|0,00|1 306,00|
UCET-ZAPIS|3|12|300042|0|0,00|344 059,00|
UCET-ZAPIS|3|12|300043|0|0,00|21 639,00|
UCET-ZAPIS|3|12|300044|0|0,00|44 178,00|
UCET-ZAPIS|3|12|300045|0|0,00|5 419,00|
UCET-ZAPIS|3|12|300046|0|0,00|449 167,00|
UCET-ZAPIS|3|12|300047|0|0,00|225 317,00|
UCET-ZAPIS|3|12|300048|0|0,00|301 342,00|
UCET-ZAPIS|3|12|300049|0|0,00|389 959,00|
UCET-ZAPIS|3|12|300050|0|0,00|387 342,00|
UCET-ZAPIS|3|12|300051|0|0,00|264 559,00|
UCET-ZAPIS|3|12|300052|0|0,00|265 000,00|
UCET-ZAPIS|3|12|300053|0|0,00|83 334,00|
UCET-ZAPIS|3|12|300054|0|0,00|171 250,00|
UCET-ZAPIS|3|12|300055|0|0,00|85 684,00|
UCET-ZAPIS|3|12|300056|0|0,00|96 667,00|
UCET-ZAPIS|3|12|300057|0|0,00|79 725,00|
UCET-ZAPIS|3|12|300058|0|0,00|66 867,00|
UCET-ZAPIS|3|12|300059|0|0,00|94 167,00|
UCET-ZAPIS|3|12|300060|0|0,00|104 167,00|
UCET-ZAPIS|3|12|300061|0|0,00|112 500,00|
UCET-ZAPIS|3|12|300062|0|0,00|100 000,00|
UCET-ZAPIS|3|12|300063|0|0,00|98 050,00|
UCET-ZAPIS|3|12|300064|0|0,00|80 034,00|
UCET-ZAPIS|3|12|300065|0|0,00|104 167,00|
UCET-ZAPIS|3|12|300066|0|0,00|126 084,00|
UCET-ZAPIS|3|12|300112|0|132 532,00|0,00|
UCET-ZAPIS|3|12|300112|0|166 200,00|0,00|
UCET-ZAPIS|6|12|300067|0|153 844 400,00|0,00|
UCET-ZAPIS|6|12|300113|0|75 388,00|0,00|
UCET-ZAPIS|6|12|300113|0|15 000,00|0,00|
UCET-ZAPIS|6|12|300113|0|0,00|0,00|
UCET-ZAPIS|7|12|300114|0|19 278,00|0,00|
UCET-ZAPIS|8|12|300115|0|30 549,00|0,00|
UCET-ZAPIS|8|12|300115|0|55 950,00|0,00|
UCET-ZAPIS|9|12|300068|0|0,00|15 000 000,00|
UCET-ZAPIS|9|12|300069|0|0,00|69 000,00|
UCET-ZAPIS|9|12|300116|0|15 765 000,00|0,00|
UCET-ZAPIS|9|12|300116|0|1 000 000,00|0,00|
UCET-ZAPIS|9|12|300116|0|8 006 000,00|0,00|
UCET-ZAPIS|9|12|300116|0|539 716,00|0,00|
UCET-ZAPIS|10|12|300117|0|12 501,00|0,00|
